arbID,Zoning District
893, "R3
894, "PAR
895, "PAR
896, "R2
897, "R4-
898, "R
899, "PAR
900, "PAR
901, "PAR
902, "PAR
903, "PAR
904, "PAR
905, "PAR
906, "R3-
907, "R3
908, "PLAYGROUN
909, "PAR
910, "R
911, "PLAYGROUN
912, "R5
913, "R6
914, "PAR
915, "R6
916, "R6
917, "PAR
918, "M1-
919, "PAR
920, "PAR
921, "PAR
922, "PAR
923, "PAR
924, "R
925, "PAR
926, "PLAYGROUN
927, "PAR
928, "PAR
929, "R4-
930, "PAR
931, "PLAYGROUN
932, "R5
933, "R4
934, "R4
935, "R
936, "C4-5
937, "R
938, "M1-4/R6
939, "PAR
940, "R3-
941, "R
942, "R
943, "M1-5/R7-
944, "R4
945, "R3-
946, "PAR
947, "PAR
948, "R7-
949, "R3-
950, "PAR
951, "R4-
952, "PAR
953, "PAR
954, "PAR
955, "PAR
956, "PAR
957, "PAR
958, "PAR
959, "PAR
960, "R3-
961, "PAR
962, "PAR
963, "PAR
964, "PAR
965, "PAR
966, "PAR
967, "R
968, "R1-
969, "C
970, "PAR
971, "PAR
972, "PAR
973, "PAR
974, "PAR
975, "PAR
976, "PAR
977, "R
978, "PAR
979, "C
980, "PAR
981, "PAR
982, "PAR
983, "C4-
984, "PAR
985, "PAR
986, "PAR
987, "PAR
988, "PAR
989, "PAR
990, "M3-
991, "PAR
992, "PAR
993, "PAR
994, "PAR
995, "PAR
996, "R3
997, "PAR
998, "R3-
999, "PAR
1000, "PAR
1001, "PAR
1002, "PAR
1003, "M3-
1004, "R3-
1005, "PAR
1006, "PAR
1007, "C8-
1008, "PAR
1009, "PAR
1010, "PAR
1011, "PAR
1012, "PAR
1013, "PAR
1014, "M3-
1015, "R3
1016, "PAR
1017, "PAR
1018, "PAR
1019, "PAR
1020, "PAR
1021, "PAR
1022, "PAR
1023, "PAR
1024, "PAR
1025, "PAR
1026, "PAR
1027, "PAR
1028, "PAR
1029, "PAR
1030, "PAR
1031, "PAR
1032, "PAR
1033, "PAR
1034, "PAR
1035, "R3-
1036, "R1-
1037, "R3-
1038, "PAR
1039, "PAR
1040, "PAR
1041, "PAR
1042, "PAR
1043, "PAR
1044, "PAR
1045, "PAR
1046, "PAR
1047, "PAR
1048, "PAR
1049, "PAR
1050, "R1-
1051, "PAR
1052, "PAR
1053, "PAR
1054, "PAR
1055, "PAR
1056, "R3-
1057, "R1-
1058, "PAR
1059, "PAR
1060, "PAR
1061, "PAR
1062, "PAR
1063, "PAR
1064, "PAR
1065, "R3-
1066, "PAR
1067, "R3
1068, "C4-
1069, "PAR
1070, "PAR
1071, "R4-
1072, "R5
1073, "M1-
1074, "PAR
1075, "R4-
1076, "PLAYGROUN
1077, "PAR
1078, "PAR
1079, "PAR
1080, "PAR
1081, "PAR
1082, "PAR
1083, "R3-
1084, "PAR
1085, "PAR
1086, "PAR
1087, "PAR
1088, "PAR
1089, "PAR
1090, "PAR
1091, "R8
1092, "R8
1093, "R7
1094, "C4-
1095, "PAR
1096, "R6
1097, "R7
1098, "PAR
1099, "PAR
1100, "PAR
1101, "R7
1102, "R8
1103, "R
1104, "R
1105, "R7-
1106, "PAR
1107, "R6
1108, "R8
1109, "R7
1110, "M3-
1111, "PAR
1112, "PAR
1113, "PAR
1114, "PAR
1115, "PAR
1116, "M1-
1117, "PAR
1118, "PAR
1119, "PLAYGROUN
1120, "PAR
1121, "PAR
1122, "PAR
1123, "PAR
1124, "PAR
1125, "PAR
1126, "PAR
1127, "PAR
1128, "PAR
1129, "PAR
1130, "PAR
1131, "PLAYGROUN
1132, "PAR
1133, "PAR
1134, "PAR
1135, "PLAYGROUN
1136, "PAR
1137, "PLAYGROUN
1138, "PAR
1139, "PLAYGROUN
1140, "PAR
1141, "PAR
1142, "PAR
1143, "PAR
1144, "PLAYGROUN
1145, "PAR
1146, "PLAYGROUN
1147, "PAR
1148, "PAR
1149, "PAR
1150, "PAR
1151, "PAR
1152, "PAR
1153, "PLAYGROUN
1154, "PAR
1155, "R
1156, "M1-
1157, "M3-
1158, "PAR
1159, "PAR
1160, "PAR
1161, "PLAYGROUN
1162, "PAR
1163, "PAR
1164, "PAR
1165, "PLAYGROUN
1166, "PAR
1167, "M1-
1168, "PAR
1169, "PAR
1170, "R
1171, "PAR
1172, "PLAYGROUN
1173, "PAR
1174, "PAR
1175, "PAR
1176, "PAR
1177, "PAR
1178, "PAR
1179, "PAR
1180, "PAR
1181, "PAR
1182, "PAR
1183, "PAR
1184, "PAR
1185, "PAR
1186, "PAR
1187, "PAR
1188, "PAR
1189, "PAR
1190, "R1-
1191, "R1-
1192, "PAR
1193, "PLAYGROUN
1194, "PLAYGROUN
1195, "PAR
1196, "R3-
1197, "PAR
1198, "PAR
1199, "PLAYGROUN
1200, "M3-
1201, "PAR
1202, "PAR
1203, "PAR
1204, "PAR
1205, "PAR
1206, "PAR
1207, "PAR
1208, "PAR
1209, "PAR
1210, "PLAYGROUN
1211, "BALL FIEL
1212, "PAR
1213, "PAR
1214, "PAR
1215, "R8
1216, "R7
1217, "C6-
1218, "R8
1219, "M2-
1220, "M1-4/R9
1221, "PAR
1222, "PLAYGROUN
1223, "PAR
1224, "R7
1225, "C8-
1226, "R7
1227, "R7-
1228, "R7
1229, "R1-
1230, "R7
1231, "PAR
1232, "BALL FIEL
